fecha,plasma_temperature,proton_density,plasma_speed
2024-05-07 01:00:00,136447.0,3.6,507.0
2024-05-07 02:00:00,123839.0,3.7,529.0
2024-05-07 03:00:00,132534.0,3.7,538.0
2024-05-07 04:00:00,167914.0,3.1,531.0
2024-05-07 05:00:00,164252.0,2.4,510.0
2024-05-07 06:00:00,153261.0,2.9,524.0
2024-05-07 07:00:00,145778.0,2.9,525.0
2024-05-07 08:00:00,142645.0,3.0,534.0
2024-05-07 09:00:00,121423.0,2.4,512.0
2024-05-07 10:00:00,110317.0,2.2,515.0
2024-05-07 11:00:00,115456.0,2.2,515.0
2024-05-07 12:00:00,136101.0,2.6,520.0
2024-05-07 13:00:00,119749.0,2.5,511.0
2024-05-07 14:00:00,122229.0,2.3,508.0
2024-05-07 15:00:00,97210.0,2.2,497.0
2024-05-07 16:00:00,115559.0,2.5,509.0
2024-05-07 17:00:00,161798.0,2.9,516.0
2024-05-07 18:00:00,105393.0,2.6,519.0
2024-05-07 19:00:00,106260.0,2.6,518.0
2024-05-07 20:00:00,140055.0,2.7,536.0
2024-05-07 21:00:00,142191.0,2.8,528.0
2024-05-07 22:00:00,141865.0,2.5,504.0
2024-05-07 23:00:00,127890.0,2.5,493.0
2024-05-08 00:00:00,95932.0,2.7,522.0
2024-05-08 01:00:00,96089.0,2.6,516.0
2024-05-08 02:00:00,99291.0,2.8,494.0
2024-05-08 03:00:00,96699.0,2.7,487.0
2024-05-08 04:00:00,94724.0,2.7,487.0
2024-05-08 05:00:00,98652.0,2.7,479.0
2024-05-08 06:00:00,95562.0,2.7,474.0
2024-05-08 07:00:00,97393.0,2.8,478.0
2024-05-08 08:00:00,84410.0,2.7,478.0
2024-05-08 09:00:00,85434.0,2.6,491.0
2024-05-08 10:00:00,85691.0,2.6,484.0
2024-05-08 11:00:00,85729.0,2.7,462.0
2024-05-08 12:00:00,83049.0,2.7,471.0
2024-05-08 13:00:00,80844.0,2.7,459.0
2024-05-08 14:00:00,81534.0,2.8,468.0
2024-05-08 15:00:00,78871.0,3.0,469.0
2024-05-08 16:00:00,56944.0,2.7,478.0
2024-05-08 17:00:00,52534.0,2.7,473.0
2024-05-08 18:00:00,57336.0,2.8,468.0
2024-05-08 19:00:00,54554.0,2.8,469.0
2024-05-08 20:00:00,66426.0,2.9,460.0
2024-05-08 21:00:00,68395.0,2.8,458.0
2024-05-08 22:00:00,78139.0,2.8,457.0
2024-05-08 23:00:00,80757.0,2.9,459.0
2024-05-09 00:00:00,86849.0,3.0,462.0
2024-05-09 01:00:00,83620.0,3.0,460.0
2024-05-09 02:00:00,86361.0,3.0,460.0
2024-05-09 03:00:00,84383.0,3.0,460.0
